"filename", "language", "JavaScript", "JSON", "SQL", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\Crow\CSE-412-Project-Phase-3\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\Crow\CSE-412-Project-Phase-3\app.js", "JavaScript", 202, 0, 0, 0, 0, 1, 51, 254
"c:\Users\Crow\CSE-412-Project-Phase-3\databasepg.js", "JavaScript", 430, 0, 0, 0, 0, 0, 42, 472
"c:\Users\Crow\CSE-412-Project-Phase-3\localsql-setup.sql", "SQL", 0, 0, 58, 0, 0, 0, 18, 76
"c:\Users\Crow\CSE-412-Project-Phase-3\package-lock.json", "JSON", 0, 3315, 0, 0, 0, 0, 1, 3316
"c:\Users\Crow\CSE-412-Project-Phase-3\package.json", "JSON", 0, 35, 0, 0, 0, 0, 1, 36
"c:\Users\Crow\CSE-412-Project-Phase-3\passport-config.js", "JavaScript", 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Crow\CSE-412-Project-Phase-3\views\account.ejs", "HTML", 0, 0, 0, 27, 0, 0, 1, 28
"c:\Users\Crow\CSE-412-Project-Phase-3\views\album.ejs", "HTML", 0, 0, 0, 52, 0, 0, 5, 57
"c:\Users\Crow\CSE-412-Project-Phase-3\views\albums.ejs", "HTML", 0, 0, 0, 39, 0, 0, 5, 44
"c:\Users\Crow\CSE-412-Project-Phase-3\views\friendsearch.ejs", "HTML", 0, 0, 0, 27, 0, 0, 6, 33
"c:\Users\Crow\CSE-412-Project-Phase-3\views\index.ejs", "HTML", 0, 0, 0, 41, 0, 0, 16, 57
"c:\Users\Crow\CSE-412-Project-Phase-3\views\login.ejs", "HTML", 0, 0, 0, 20, 0, 0, 3, 23
"c:\Users\Crow\CSE-412-Project-Phase-3\views\photo.ejs", "HTML", 0, 0, 0, 60, 0, 0, 8, 68
"c:\Users\Crow\CSE-412-Project-Phase-3\views\photosearch.ejs", "HTML", 0, 0, 0, 35, 0, 0, 4, 39
"c:\Users\Crow\CSE-412-Project-Phase-3\views\populartags.ejs", "HTML", 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\Crow\CSE-412-Project-Phase-3\views\profile.ejs", "HTML", 0, 0, 0, 21, 0, 0, 2, 23
"c:\Users\Crow\CSE-412-Project-Phase-3\views\register.ejs", "HTML", 0, 0, 0, 40, 0, 0, 2, 42
"c:\Users\Crow\CSE-412-Project-Phase-3\views\searchcomment.ejs", "HTML", 0, 0, 0, 16, 0, 0, 4, 20
"c:\Users\Crow\CSE-412-Project-Phase-3\views\tag.ejs", "HTML", 0, 0, 0, 28, 0, 0, 1, 29
"c:\Users\Crow\CSE-412-Project-Phase-3\views\topcontributers.ejs", "HTML", 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\Crow\CSE-412-Project-Phase-3\views\youmayalsolike.ejs", "HTML", 0, 0, 0, 18, 0, 0, 1, 19
"Total", "-", 657, 3350, 58, 442, 3, 1, 179, 4690
